latitude	longitude	cp_id_str	Power_kW	connector_id	session_count
55.868162	-4.258613	52186	22	2.0	4
55.868162	-4.258613	52187	22	1.0	8
55.868162	-4.258613	52187	22	2.0	4
55.868162	-4.258613	52188	22	1.0	10
55.868586	-4.290573	50755	22	1.0	210
55.868586	-4.290573	50755	22	2.0	198
55.868786	-4.120056	51568	22	1.0	147
55.868786	-4.120056	51568	22	2.0	50
55.868786	-4.120056	51568	22	3.0	4
55.868786	-4.120056	51568	51	1.0	294
55.868786	-4.120056	51568	51	2.0	100
55.868786	-4.120056	51568	51	3.0	8
55.868786	-4.120056	51569	22	1.0	68
55.868786	-4.120056	51569	22	2.0	48
55.869395	-4.259484	50433	7	1.0	122
55.869395	-4.259484	50433	7	2.0	112
55.869395	-4.259484	50434	7	1.0	104
55.869395	-4.259484	50434	7	2.0	60
55.870462	-4.222142	60791	7	1.0	60
55.870462	-4.222142	60791	7	2.0	26
55.871179	-4.221224	61619	7	1.0	36
55.871179	-4.221224	61619	7	2.0	26
55.871608	-4.268164	51571	22	1.0	84
55.871608	-4.268164	51571	22	2.0	80
55.871874	-4.327037	53450	22	1.0	96
55.871874	-4.327037	53450	22	2.0	15
55.871874	-4.327037	53450	22	3.0	14
55.871874	-4.327037	53450	51	1.0	192
55.871874	-4.327037	53450	51	2.0	30
55.871874	-4.327037	53450	51	3.0	28
55.871874	-4.327037	53451	22	1.0	36
55.871874	-4.327037	53451	22	2.0	24
55.873748	-4.311067	51349	22	1.0	120
55.873748	-4.311067	51349	22	2.0	186
55.875461	-4.293008	60149	7	1.0	140
